fund,category,proposal,overall_score,votes_cast,yes,no,result,meets_approval_threshold,requested,status,reason_for_not_funded_status,challenge,unnamed:_6,unnamed:_4,unnamed:_2,fund_depletion,requested_$,unnamed:_1,unnamed:_3,reason_for_not_approved_status,requested_ada,abstain,unnamed:_5,fund_size:,approve
Fund10,Development & Infrastructure,Staking Basket Ecosystem Contract + Audit - Incentivizing Cardano's Decentralization,,413,139700114,75356493,64343621,YES,,NOT FUNDED,Over Budget,,,,,32092,,,,,300000,,,,
Fund10,Development & Infrastructure,Open-Source database synchronization SDK,,547,206889469,149043456,57846013,YES,,NOT FUNDED,Over Budget,,,,,32092,,,,,665000,,,,
Fund10,Development & Infrastructure,Atrium Dashboard - The Heart of Cardano,,421,128847019,82615931,46231088,YES,,NOT FUNDED,Over Budget,,,,,32092,,,,,224000,,,,
Fund10,Development & Infrastructure,Xerberus Powered Catalyst Analytics Dashboard,,713,171573003,127469801,44103202,NO,,NOT FUNDED,Approval Threshold,,,,,32092,,,,,200000,,,,
Fund10,Development & Infrastructure,Terraform support for Blockfrost.io,,410,172917078,132722154,40194924,NO,,NOT FUNDED,Approval Threshold,,,,,32092,,,,,120000,,,,
Fund10,Development & Infrastructure,Incentivized On-chain Project Engagement platform,,360,126365511,90654209,35711302,YES,,NOT FUNDED,Over Budget,,,,,32092,,,,,294000,,,,
Fund10,Development & Infrastructure,NEWM Community - Onboard Android Devs to Cardano with PlutoK - Plutus Virtual Machine for Kotlin,,569,160138503,129070375,31068128,NO,,NOT FUNDED,Approval Threshold,,,,,32092,,,,,309091,,,,
Fund10,Development & Infrastructure,Naumachia: Rust Smart Contract Development Toolkit,,380,81052704,51262422,29790282,YES,,NOT FUNDED,Over Budget,,,,,32092,,,,,49000,,,,
Fund10,Development & Infrastructure,[C2VN]: Hydra Course for Non-Native English Community Developers,,334,101108021,78309117,22798904,NO,,NOT FUNDED,Approval Threshold,,,,,32092,,,,,41860,,,,
Fund10,Development & Infrastructure,cardano-node typescript implementation,,669,175937685,159701435,16236250,NO,,NOT FUNDED,Approval Threshold,,,,,32092,,,,,1389696,,,,
Fund10,Development & Infrastructure,Invoicing SDK,,288,66374009,53796106,12577903,NO,,NOT FUNDED,Approval Threshold,,,,,32092,,,,,50000,,,,
Fund10,Development & Infrastructure,CBIA - Augmenting Cardano Developer Portal with ecosystem compatibility & dependency visualizations for dev tools,,303,49780505,37512593,12267912,NO,,NOT FUNDED,Approval Threshold,,,,,32092,,,,,47750,,,,
Fund10,Development & Infrastructure,Cardano Node API: a multiple protocol query interface,,481,147041110,138940583,8100527,NO,,NOT FUNDED,Approval Threshold,,,,,32092,,,,,185000,,,,
Fund10,Development & Infrastructure,Token Verification Alliance,,492,153227152,145410745,7816407,NO,,NOT FUNDED,Approval Threshold,,,,,32092,,,,,483900,,,,
Fund10,Development & Infrastructure,Maestro SDKs & ecosystem integrations - Enabling interoperability with scalable blockchain infrastructure,,397,116608775,110423318,6185457,NO,,NOT FUNDED,Approval Threshold,,,,,32092,,,,,95333,,,,
Fund10,Development & Infrastructure,Integrated Wallet Media Player: Enhancing Accessibility and Convenience,,434,149595886,145807610,3788276,NO,,NOT FUNDED,Approval Threshold,,,,,32092,,,,,197000,,,,
Fund10,Development & Infrastructure,NFT Staking Smart Contracts Audit,,453,146764783,143200659,3564124,NO,,NOT FUNDED,Approval Threshold,,,,,32092,,,,,241000,,,,
Fund10,Development & Infrastructure,gOuroboros: Cardano Ouroboros protocol server support in Golang,,485,140617549,139225009,1392540,NO,,NOT FUNDED,Approval Threshold,,,,,32092,,,,,185000,,,,
Fund10,Development & Infrastructure,Hydrozoa: Lightweight and scalable Hydra Heads,,536,166956934,165786869,1170065,NO,,NOT FUNDED,Approval Threshold,,,,,32092,,,,,945476,,,,
Fund10,Development & Infrastructure,Enhancing Access to Token and NFT Analytics: Proposal for Upgrading Wallet Analytics Functionality,,381,140783058,140147518,635540,NO,,NOT FUNDED,Approval Threshold,,,,,32092,,,,,214666,,,,
Fund10,Development & Infrastructure,Open Source Sidechain Launcher Toolkit,,352,121919188,125325076,-3405888,NO,,NOT FUNDED,Approval Threshold,,,,,32092,,,,,247500,,,,
Fund10,Development & Infrastructure,"Open Source Widget NoCode ""Keyword Coins Real Time Prices"" for Tokens on Cardano Ecosystem Embedded in Content for Websites, Portals & Blogs",,338,94181221,100049087,-5867866,NO,,NOT FUNDED,Approval Threshold,,,,,32092,,,,,242500,,,,
Fund10,Development & Infrastructure,zkFold: zk-rollups on Cardano. Phase 1: zkWrapper,,634,119470715,126136490,-6665775,NO,,NOT FUNDED,Approval Threshold,,,,,32092,,,,,665000,,,,
Fund10,Development & Infrastructure,"Catalyst Brasil: Driving innovation in the Cardano Community [Project Catalyst + Cardano Essentials in Sao Paulo, Brazil]",,266,44988131,53618912,-8630781,NO,,NOT FUNDED,Approval Threshold,,,,,32092,,,,,62250,,,,
Fund10,Development & Infrastructure,KuberIDE 2.0: A complete IDE for Plutus Smart Contracts development,,433,130428532,139064245,-8635713,NO,,NOT FUNDED,Approval Threshold,,,,,32092,,,,,468292,,,,
Fund10,Development & Infrastructure,Cardano Node on Microsoft Azure Marketplace,,359,41286497,51259494,-9972997,NO,,NOT FUNDED,Approval Threshold,,,,,32092,,,,,35000,,,,
Fund10,Development & Infrastructure,Bridgeless Cross-Chain Swaps in 1 click for Cardano,,386,55330049,65674433,-10344384,NO,,NOT FUNDED,Approval Threshold,,,,,32092,,,,,40000,,,,
Fund10,Development & Infrastructure,Open Multisig Synchronization Service,,272,34428314,46840218,-12411904,NO,,NOT FUNDED,Approval Threshold,,,,,32092,,,,,30000,,,,
Fund10,Development & Infrastructure,Cardano Node on AWS - Quick Start,,316,38758368,52618118,-13859750,NO,,NOT FUNDED,Approval Threshold,,,,,32092,,,,,39500,,,,
Fund10,Development & Infrastructure,Wolfram Cardano Exchange Data Infrastructure,,552,141737895,156238977,-14501082,NO,,NOT FUNDED,Approval Threshold,,,,,32092,,,,,824400,,,,
Fund10,Development & Infrastructure,Learn and Earn Web3 Education Platform Powered by an AI co-pilot for course creators and learners,,285,31125980,46456311,-15330331,NO,,NOT FUNDED,Approval Threshold,,,,,32092,,,,,74500,,,,
Fund10,Development & Infrastructure,Open Source NFT Display and Gallery,,315,32928112,52253599,-19325487,NO,,NOT FUNDED,Approval Threshold,,,,,32092,,,,,55172,,,,
Fund10,Development & Infrastructure,"Open source Marketplace ""Opensea-like"" for MIlkomeda usecases and Seedstars Galaxy",,344,124365353,144473079,-20107726,NO,,NOT FUNDED,Approval Threshold,,,,,32092,,,,,290000,,,,
Fund10,Development & Infrastructure,Unlocking Privacy on Cardano: Implementing an Anonymous Donation/Transaction System,,270,28998338,49148680,-20150342,NO,,NOT FUNDED,Approval Threshold,,,,,32092,,,,,57000,,,,
Fund10,Development & Infrastructure,[CFD] - Cardano Fast Deployment tool. Setup and manage your infrastracture like a charm!,,333,40693533,63757855,-23064322,NO,,NOT FUNDED,Approval Threshold,,,,,32092,,,,,30000,,,,
Fund10,Development & Infrastructure,CardanoPress Starter Themes and Templates,,305,22413093,46858853,-24445760,NO,,NOT FUNDED,Approval Threshold,,,,,32092,,,,,35000,,,,
Fund10,Development & Infrastructure,Project Catalyst Funded Project PlayBook Revamp and Marketing/Community Project Support - SmartHubs,,239,21299061,46382306,-25083245,NO,,NOT FUNDED,Approval Threshold,,,,,32092,,,,,39000,,,,
Fund10,Development & Infrastructure,Breaking Language Barriers: A Proposal for Expanding Global Accessibility through Comprehensive Language Support,,382,129092932,154271582,-25178650,NO,,NOT FUNDED,Approval Threshold,,,,,32092,,,,,149167,,,,
Fund10,Development & Infrastructure,[Fimi] Cardano Podcast for Vietnamese,,405,35851807,65613860,-29762053,NO,,NOT FUNDED,Approval Threshold,,,,,32092,,,,,22476,,,,
Fund10,Development & Infrastructure,"Integrate Cardano blockchain to PitchTalk - platform for communication between projects, investors, and communities",,216,16986419,48515736,-31529317,NO,,NOT FUNDED,Approval Threshold,,,,,32092,,,,,30000,,,,
Fund10,Development & Infrastructure,From Argentina to the world. Building trust in the authenticity of academic documents with the power of Cardano: A systematic literature mapping,,262,20344925,52062652,-31717727,NO,,NOT FUNDED,Approval Threshold,,,,,32092,,,,,15000,,,,
Fund10,Development & Infrastructure,Research Paper on Impact in Cardano,,293,20275200,53815074,-33539874,NO,,NOT FUNDED,Approval Threshold,,,,,32092,,,,,25000,,,,
Fund10,Development & Infrastructure,"Teaching Turks Cardano Through Online Workshops, Youtube videos, and Community Building",,256,23240244,57212669,-33972425,NO,,NOT FUNDED,Approval Threshold,,,,,32092,,,,,15000,,,,
Fund10,Development & Infrastructure,Cardano Users Onboarding Guide,,304,32806309,67572854,-34766545,NO,,NOT FUNDED,Approval Threshold,,,,,32092,,,,,69933,,,,
Fund10,Development & Infrastructure,Blockchain Education Alpha Program for Vietnamese,,261,33848781,69143897,-35295116,NO,,NOT FUNDED,Approval Threshold,,,,,32092,,,,,48000,,,,
Fund10,Development & Infrastructure,Open Source Snapshotter,,245,28875899,65082383,-36206484,NO,,NOT FUNDED,Approval Threshold,,,,,32092,,,,,60333,,,,
Fund10,Development & Infrastructure,NEWM - Stream Token Analytics Integration,,574,126761306,163986281,-37224975,NO,,NOT FUNDED,Approval Threshold,,,,,32092,,,,,1260000,,,,
Fund10,Development & Infrastructure,Cardano Developer Training Program,,326,36108608,73866018,-37757410,NO,,NOT FUNDED,Approval Threshold,,,,,32092,,,,,60000,,,,
Fund10,Development & Infrastructure,Db-Sync Enterprise: high-availability setup of Cardano's Db-Sync to run queries and access on-chain data as a service,,256,22414782,61686301,-39271519,NO,,NOT FUNDED,Approval Threshold,,,,,32092,,,,,24000,,,,
Fund10,Development & Infrastructure,Blockchain 4 Good Research,,266,25554879,65999122,-40444243,NO,,NOT FUNDED,Approval Threshold,,,,,32092,,,,,46000,,,,
Fund10,Development & Infrastructure,"NuNet: Enabling Elasticsearch Clusters on decentralized hardware // Elasticsearch is a fast and scalable search and analytics engine, providing powerful analytics and visualization tools. NuNet will enable running it on its decentralized network.",,493,101210174,142773452,-41563278,NO,,NOT FUNDED,Approval Threshold,,,,,32092,,,,,293600,,,,
Fund10,Development & Infrastructure,[Fimi] Comprehensive information portal about Cardano for the Vietnamese community,,362,28453031,72773280,-44320249,NO,,NOT FUNDED,Approval Threshold,,,,,32092,,,,,36690,,,,
Fund10,Development & Infrastructure,Promoting Cardano in Mainland China,,350,39442213,84283151,-44840938,NO,,NOT FUNDED,Approval Threshold,,,,,32092,,,,,40000,,,,
Fund10,Development & Infrastructure,Cost-Effective Amazonian Solar-Powered Servers: Empowering Cardano Community as Global Blockchain Nodes,,272,34022061,79068381,-45046320,NO,,NOT FUNDED,Approval Threshold,,,,,32092,,,,,40000,,,,
Fund10,Development & Infrastructure,NEWM Academy - Learn-to-Earn Education Platform,,521,114309782,159469812,-45160030,NO,,NOT FUNDED,Approval Threshold,,,,,32092,,,,,787879,,,,
Fund10,Development & Infrastructure,Stellar Contracts: Open-source next-generation library for great contract architecture,,361,64595622,115583776,-50988154,NO,,NOT FUNDED,Approval Threshold,,,,,32092,,,,,112111,,,,
Fund10,Development & Infrastructure,Passkeys as Read Only Wallets,,247,19851980,71025197,-51173217,NO,,NOT FUNDED,Approval Threshold,,,,,32092,,,,,50000,,,,
Fund10,Development & Infrastructure,Buy or Sell $ADA On WhatsApp & Telegram by Automated ChatBot / On-Ramp and Off-Ramp Crypto Fiat/ADA ($BRL <-> $ADA),,507,41771554,95384845,-53613291,NO,,NOT FUNDED,Approval Threshold,,,,,32092,,,,,196071,,,,
Fund10,Development & Infrastructure,Scalus - multiplatform Scala implementation of Cardano Plutus,,334,61803765,116638145,-54834380,NO,,NOT FUNDED,Approval Threshold,,,,,32092,,,,,290400,,,,
Fund10,Development & Infrastructure,GameChanger: File Storage Protocol over Cardano - Enhancements and HTTP API Servers,,453,90414046,148676289,-58262243,NO,,NOT FUNDED,Approval Threshold,,,,,32092,,,,,258397,,,,
Fund10,Development & Infrastructure,[Fimi] IOG's Research Paper for Vietnamese Developer,,431,78190890,138848641,-60657751,NO,,NOT FUNDED,Approval Threshold,,,,,32092,,,,,112720,,,,
Fund10,Development & Infrastructure,Building a financial ecosystem through digital identity and stablecoin for maximal social impact,,508,74186325,139850374,-65664049,NO,,NOT FUNDED,Approval Threshold,,,,,32092,,,,,300000,,,,
Fund10,Development & Infrastructure,Automated Smart Contract Auditing Tool,,369,56963994,122713981,-65749987,NO,,NOT FUNDED,Approval Threshold,,,,,32092,,,,,184600,,,,
Fund10,Development & Infrastructure,Spot Converter: Buy Cardano NFTs with Any Crypto,,407,69651489,136689006,-67037517,NO,,NOT FUNDED,Approval Threshold,,,,,32092,,,,,75000,,,,
Fund10,Development & Infrastructure,Texting through wallets,,317,15335865,85025040,-69689175,NO,,NOT FUNDED,Approval Threshold,,,,,32092,,,,,75000,,,,
Fund10,Development & Infrastructure,Open Source Cardano API and Webhooks,,412,64593239,134310169,-69716930,NO,,NOT FUNDED,Approval Threshold,,,,,32092,,,,,217000,,,,
Fund10,Development & Infrastructure,"Hardware-Secured Hot Wallets for Live Services (Dexes, Bridges, Side-Chains, Dapps, & more)",,345,54777130,132132044,-77354914,NO,,NOT FUNDED,Approval Threshold,,,,,32092,,,,,120635,,,,
Fund10,Development & Infrastructure,Intergrate BitBox02 Hardware wallet into Cardano Wallets and Dapps,,272,29444033,115304226,-85860193,NO,,NOT FUNDED,Approval Threshold,,,,,32092,,,,,75000,,,,
Fund10,Development & Infrastructure,Space Trains and Metadata: Scaling our Communities of Trust,,260,66032846,152664851,-86632005,NO,,NOT FUNDED,Approval Threshold,,,,,32092,,,,,109100,,,,
Fund10,Development & Infrastructure,Templatized Cardano Node Hosted on Decentralized Compute Infrastructure,,252,55516581,144593257,-89076676,NO,,NOT FUNDED,Approval Threshold,,,,,32092,,,,,125000,,,,
Fund10,Development & Infrastructure,Establishment of a Blockchain Research and Innovation Laboratory at KCG College of Technology,,282,31147449,121606874,-90459425,NO,,NOT FUNDED,Approval Threshold,,,,,32092,,,,,90000,,,,
Fund10,Development & Infrastructure,Open source PRISM Node,,357,58282425,148888362,-90605937,NO,,NOT FUNDED,Approval Threshold,,,,,32092,,,,,410000,,,,
Fund10,Development & Infrastructure,Enhanced Catalyst Proposals: Proposal Deposits and Bad Actor Penalties,,281,58592695,149438649,-90845954,NO,,NOT FUNDED,Approval Threshold,,,,,32092,,,,,110000,,,,
Fund10,Development & Infrastructure,MineFreeUkraine: Coordination and DeFi Platform for Large-Scale Humanitarian Demining and Socio-Economic Recovery of Ukraine,,336,67575045,159517791,-91942746,NO,,NOT FUNDED,Approval Threshold,,,,,32092,,,,,360000,,,,
Fund10,Development & Infrastructure,Babel Fees and Sponsored Transactions: NOW!,,393,57008374,149128224,-92119850,NO,,NOT FUNDED,Approval Threshold,,,,,32092,,,,,333446,,,,
Fund10,Development & Infrastructure,Statur: Reputation Model for Web3 Ecosystem that encourages positive behaviour,,494,56545853,149562173,-93016320,NO,,NOT FUNDED,Approval Threshold,,,,,32092,,,,,269223,,,,
Fund10,Development & Infrastructure,Cardano Research and Education Center with UTN and Government agreement,,325,41776895,136823132,-95046237,NO,,NOT FUNDED,Approval Threshold,,,,,32092,,,,,340000,,,,
Fund10,Development & Infrastructure,Milkomeda Smart Contract Indexing,,489,58953844,154206287,-95252443,NO,,NOT FUNDED,Approval Threshold,,,,,32092,,,,,1023746,,,,
Fund10,Development & Infrastructure,Argus AI: Zero-Subscription SaaS Model For NFT Counterfeit Protection,,256,24480903,120680013,-96199110,NO,,NOT FUNDED,Approval Threshold,,,,,32092,,,,,84040,,,,
Fund10,Development & Infrastructure,EON - Cross-chain Decentralized Data Feeds from Oracles,,311,39951514,136629094,-96677580,NO,,NOT FUNDED,Approval Threshold,,,,,32092,,,,,239830,,,,
Fund10,Development & Infrastructure,Self sovereign identity (SSI) integration into crypto wallets,,334,45591514,142652877,-97061363,NO,,NOT FUNDED,Approval Threshold,,,,,32092,,,,,380000,,,,
Fund10,Development & Infrastructure,BLOCKTRUST production-ready DIDComm Mediator,,264,39148341,136630831,-97482490,NO,,NOT FUNDED,Approval Threshold,,,,,32092,,,,,160000,,,,
Fund10,Development & Infrastructure,Nanopublications Dashboard: a searchable natural language tool for atomic knowledge-sharing,,300,36098048,136762096,-100664048,NO,,NOT FUNDED,Approval Threshold,,,,,32092,,,,,82800,,,,
Fund10,Development & Infrastructure,Upgrade CardanoSharp Library: Cross-Platform Compatibility & Optimized Coin Selection,,293,38566532,142053140,-103486608,NO,,NOT FUNDED,Approval Threshold,,,,,32092,,,,,190000,,,,
Fund10,Development & Infrastructure,Post-quantum security for Cardano accounts 🛡,,371,49834268,153991469,-104157201,NO,,NOT FUNDED,Approval Threshold,,,,,32092,,,,,200000,,,,
Fund10,Development & Infrastructure,Open Sourced Licensing Agreement & Legal Standard for Cardano Digital Collectibles,,282,41450535,146387312,-104936777,NO,,NOT FUNDED,Approval Threshold,,,,,32092,,,,,300000,,,,
Fund10,Development & Infrastructure,Ethereum2Cardano University,,405,45444627,150773424,-105328797,NO,,NOT FUNDED,Approval Threshold,,,,,32092,,,,,254000,,,,
Fund10,Development & Infrastructure,Perun Virtual Channels as Payment Infrastructure,,379,60353154,166663051,-106309897,NO,,NOT FUNDED,Approval Threshold,,,,,32092,,,,,678500,,,,
Fund10,Development & Infrastructure,Revolutionary NFT SDK (Software Development Kit) for Smart Contract (deno/js) that will finally make the Cardano NFT space decentralized and steepens the adoption curve for new businesses!,,254,24037809,130932893,-106895084,NO,,NOT FUNDED,Approval Threshold,,,,,32092,,,,,100000,,,,
Fund10,Development & Infrastructure,DPAY - API PAYMENT GATEWAY,,289,27222555,134699203,-107476648,NO,,NOT FUNDED,Approval Threshold,,,,,32092,,,,,60000,,,,
Fund10,Development & Infrastructure,Scarab - a cardano-node client implementation in functional Scala,,344,54424664,163148698,-108724034,NO,,NOT FUNDED,Approval Threshold,,,,,32092,,,,,500000,,,,
Fund10,Development & Infrastructure,DCOne Crypto API for Open Source Developers,,296,31954665,141996575,-110041910,NO,,NOT FUNDED,Approval Threshold,,,,,32092,,,,,132666,,,,
Fund10,Development & Infrastructure,Sisu Bridge Explorer: A Cross-Chain Bridge Explorer for ADA and EVM Chains to enable seamless Token Transfers,,280,31719562,143163114,-111443552,NO,,NOT FUNDED,Approval Threshold,,,,,32092,,,,,105000,,,,
Fund10,Development & Infrastructure,Getting down to business! Building the Professional Decentralised Business Development Network,,308,27117929,139070470,-111952541,NO,,NOT FUNDED,Approval Threshold,,,,,32092,,,,,402000,,,,
Fund10,Development & Infrastructure,SolarWise // Cardano Renewable Energy Oracle // Unleash the Power of Users and Communities powered by @energiasocial,,304,28247834,141125979,-112878145,NO,,NOT FUNDED,Approval Threshold,,,,,32092,,,,,75000,,,,
Fund10,Development & Infrastructure,"Impact Web3 - The Ecosystem where Impact Measurement, Investing, and Verification collide and empower positive change through the Cardano Blockchain",,269,27305721,140724997,-113419276,NO,,NOT FUNDED,Approval Threshold,,,,,32092,,,,,210000,,,,
Fund10,Development & Infrastructure,Cardano Staking API Development Proposal - Precise Insights and Analysis,,320,35721851,149188200,-113466349,NO,,NOT FUNDED,Approval Threshold,,,,,32092,,,,,100000,,,,
Fund10,Development & Infrastructure,FluxusNetwork x Machinations,,245,18507557,132398811,-113891254,NO,,NOT FUNDED,Approval Threshold,,,,,32092,,,,,160000,,,,
Fund10,Development & Infrastructure,The Beam Network: Decentralized Asset Protocol,,277,28288842,143021471,-114732629,NO,,NOT FUNDED,Approval Threshold,,,,,32092,,,,,280000,,,,
Fund10,Development & Infrastructure,Cardano NFT Licenses,,333,26665210,141988717,-115323507,NO,,NOT FUNDED,Approval Threshold,,,,,32092,,,,,447493,,,,
Fund10,Development & Infrastructure,A Dedicated NFT CIP Editor: Accelerating NFT Standards & Developer Success,,274,31311273,147746777,-116435504,NO,,NOT FUNDED,Approval Threshold,,,,,32092,,,,,196200,,,,
Fund10,Development & Infrastructure,"Revolutionary pro-community NFT Smart Contract. Splitting service fee between multiple parties, on-chain affiliate, precision in lovelaces without any rounding up to the detriment of creators or users.",,259,20138741,137270370,-117131629,NO,,NOT FUNDED,Approval Threshold,,,,,32092,,,,,196000,,,,
Fund10,Development & Infrastructure,All currencies exchange,,310,19454296,138019432,-118565136,NO,,NOT FUNDED,Approval Threshold,,,,,32092,,,,,15000,,,,
Fund10,Development & Infrastructure,U.S. Legal Database and Compliance Assistant,,338,29584264,148233026,-118648762,NO,,NOT FUNDED,Approval Threshold,,,,,32092,,,,,220000,,,,
Fund10,Development & Infrastructure,DRED decentralized API,,272,27496655,147052671,-119556016,NO,,NOT FUNDED,Approval Threshold,,,,,32092,,,,,385000,,,,
