fund,category,proposal,yes,no,votes_cast,requested amount,status,overall_score
Fund7,DAOs  Cardano,EU-Compliant DAO Blueprint,208245435,2824133,1166,25000,FUNDED,4.89
Fund7,DAOs  Cardano,MLabs DDAO,151536528,1305407,649,72000,FUNDED,4.46
Fund7,DAOs  Cardano,Basic Plutus Voting dApp,148564142,11819294,461,15000,FUNDED,2.81
Fund7,DAOs  Cardano,Smart contract upgradability,140471502,11950398,449,15000,FUNDED,2.58
Fund7,DAOs  Cardano,PanDAO: Focus on interoperability,124578425,4677645,767,57700,FUNDED,4.67
Fund7,DAOs  Cardano,DAO Decentralized Communication,118424927,5069655,746,29440,FUNDED,4.62
Fund7,DAOs  Cardano,GOV: Agreements Building Platform,99674882,2580703,415,68800,FUNDED,4.28
Fund7,DAOs  Cardano,DAO Treasury Building Blocks,87176814,4146999,413,75000,FUNDED,4.33
Fund7,DAOs  Cardano,Milkomeda DAO Hackathon,97186297,17746888,439,50000,FUNDED,3.22
Fund7,DAOs  Cardano,DAO-NET: DAO Deployment Platform,73416307,4128070,326,48400,FUNDED,4.27
Fund7,DAOs  Cardano,DAO-NET: Sybil Defense DAO,79341571,12296463,394,94400,NOT FUNDED,4.42
Fund7,DAOs  Cardano,DAOJob: The HR Tooling for DAOs,69548664,9542643,360,24500,FUNDED,4.44
Fund7,DAOs  Cardano,Wada Preserving Culture: NFT -> DAO,67063237,7867937,255,18000,NOT FUNDED,3.67
Fund7,DAOs  Cardano,Creating Cardano DAO Infrastructure,63129764,8635147,284,50000,NOT FUNDED,3.44
Fund7,DAOs  Cardano,Littlefish Foundation Kiva-like DAO,61155591,7415939,229,24000,NOT FUNDED,3.89
Fund7,DAOs  Cardano,wadaDAO,55556098,5992418,306,37800,NOT FUNDED,4.08
Fund7,DAOs  Cardano,GOV: URL Conversations,53579210,14286791,210,35000,NOT FUNDED,3.56
Fund7,DAOs  Cardano,Collab Tools for Community DAOs,46586515,7399470,296,75000,NOT FUNDED,4.17
Fund7,DAOs  Cardano,Bees Delivery DAO,48536154,12747286,254,21000,NOT FUNDED,4.13
Fund7,DAOs  Cardano,Mobilize NFT groups via DAO tooling,44815534,9283566,228,38300,NOT FUNDED,3.89
Fund7,DAOs  Cardano,Woolly Mammoth de-extinction DO,44294704,9328870,224,33000,NOT FUNDED,3.58
Fund7,DAOs  Cardano,Open-source Catalyst voting app,44510158,15124290,264,75000,NOT FUNDED,3.06
Fund7,DAOs  Cardano,DAO smart contract templetizaiton,40021461,14218444,252,50000,NOT FUNDED,3.67
Fund7,DAOs  Cardano,DAO Displays for Public Spaces,38053287,18132111,206,36000,NOT FUNDED,3.67
Fund7,DAOs  Cardano,KONMA DAO,33154336,14412439,214,75000,NOT FUNDED,3.72
Fund7,DAOs  Cardano,Decentralizied Farm to Table,30763231,14888267,222,35000,NOT FUNDED,3.17
Fund7,DAOs  Cardano,MADAO: Mutual Aid DAO,31493426,16864670,189,39800,NOT FUNDED,3
Fund7,DAOs  Cardano,Simple fund management DAO SDK,27348058,14410733,203,16900,NOT FUNDED,3.17
Fund7,DAOs  Cardano,"A gaming DAO, players in control!",25025457,17587301,207,70000,NOT FUNDED,2.53
Fund7,DAOs  Cardano,Cardano Climate DAO,19352734,15891290,211,31500,NOT FUNDED,3.08
Fund7,DAOs  Cardano,Decentralized Governance Alliance,16111833,14564141,172,9600,NOT FUNDED,2.83
Fund7,DAOs  Cardano,Spaceship Earth DAO,16529585,15239889,179,28000,NOT FUNDED,2.67
Fund7,DAOs  Cardano,The DAO of Trailer Parks,16391542,16859439,183,10000,NOT FUNDED,2.89
Fund7,DAOs  Cardano,TRANSPORT & LOGISITCS DAO,16837302,19008852,199,5000,NOT FUNDED,1.42
Fund7,DAOs  Cardano,DAO addressing Digital Divide,16924821,19591003,195,10000,NOT FUNDED,1.29
Fund7,DAOs  Cardano,DAOForge Easily Create cardanoDOA's,15939741,19028094,188,15000,NOT FUNDED,2.2
Fund7,DAOs  Cardano,DisWOCO,17756881,21195685,210,7000,NOT FUNDED,1.13
Fund7,DAOs  Cardano,Decentral contract mechanism,17764369,21729926,190,12000,NOT FUNDED,1.5
Fund7,DAOs  Cardano,DAOs for Creative communities,18150812,23111816,213,200000,NOT FUNDED,1.89
Fund7,DAOs  Cardano,A Cardano businesses focused DAO,15075146,27125154,236,75000,NOT FUNDED,1.13
Fund7,DApps & Integrations,OpenScienceNFT Marketplace,229711277,6106817,1322,23700,FUNDED,5
Fund7,DApps & Integrations,Fractionalized NFTs v2,192932440,4443349,549,50000,FUNDED,4.44
Fund7,DApps & Integrations,Anonymity & data control online ZKT,167266392,4282581,620,25050,FUNDED,4.83
Fund7,DApps & Integrations,Web based transaction editor,141093638,2810792,791,16000,FUNDED,4.86
Fund7,DApps & Integrations,Liquidity Aggregator for Cardano,145223690,10823828,699,50000,FUNDED,4.75
Fund7,DApps & Integrations,"No code, audited Smart Contracts",126635128,9785911,665,20000,FUNDED,4.78
Fund7,DApps & Integrations,Community Tools On Chain! - AIM,117263925,3531801,685,9900,FUNDED,4.92
Fund7,DApps & Integrations,GameChanger: smart contract support,111642694,4112351,676,9000,FUNDED,4.78
Fund7,DApps & Integrations,ADA Handle Wallet Authentication,120169819,17083688,759,45000,FUNDED,4.71
Fund7,DApps & Integrations,NFT Verification Tool (Open-Source),94096206,9151676,609,35000,NOT FUNDED,4.75
Fund7,DApps & Integrations,DAO-NET: Voting DApp,84377037,9211936,329,49000,NOT FUNDED,4.67
Fund7,DApps & Integrations,Distributed storage Infrastructure,75187394,3789782,324,15000,NOT FUNDED,4.5
Fund7,DApps & Integrations,C64 Extension Wallet,77413110,12201552,387,19660,NOT FUNDED,4.73
Fund7,DApps & Integrations,Bring Ethereum NFT users to Cardano,71802947,6859854,230,18500,NOT FUNDED,3.72
Fund7,DApps & Integrations,Estati - Real Estate Investments,73905328,8982352,187,11000,NOT FUNDED,3.78
Fund7,DApps & Integrations,Project Catapult: None left behind,70615355,5730642,250,11250,NOT FUNDED,4.5
Fund7,DApps & Integrations,i3D Mass Adoption Protocol,74449304,11485856,351,42700,NOT FUNDED,4.75
Fund7,DApps & Integrations,Trustless Cardano Ethereum bridge,63267259,12163860,380,50000,NOT FUNDED,4.08
Fund7,DApps & Integrations,Urban Farmer dApp,59049776,10917224,214,5000,NOT FUNDED,3.89
Fund7,DApps & Integrations,Medusa Wallet,54997507,7588102,233,30000,NOT FUNDED,4.21
Fund7,DApps & Integrations,Rythmeet:a versatile music platform,54679167,7837628,298,35000,NOT FUNDED,4.67
Fund7,DApps & Integrations,ALLIN Betting DAO,52348240,6681116,185,18000,NOT FUNDED,4.17
Fund7,DApps & Integrations,Cardol.io - Portfolio Tracker,50854191,9366918,266,25000,NOT FUNDED,4.46
Fund7,DApps & Integrations,Divine Blockchain - Phase I,45396300,7037170,144,35000,NOT FUNDED,3.61
Fund7,DApps & Integrations,Portal: NFQ's digital asset mgmt.,47329434,9730432,237,35000,NOT FUNDED,4.58
Fund7,DApps & Integrations,Music NFT Launchpad,47129533,9794957,183,20500,NOT FUNDED,3.5
Fund7,DApps & Integrations,Account authentication,45244034,8387896,224,22000,NOT FUNDED,4.33
Fund7,DApps & Integrations,Treedano: NFTs for mature trees,51654563,15107040,313,56250,NOT FUNDED,4.56
Fund7,DApps & Integrations,Decentralized Music Platform,47767489,11675378,370,50000,NOT FUNDED,4.42
Fund7,DApps & Integrations,Cardahub-Hub of services on Cardano,45660994,9804840,201,19680,NOT FUNDED,4
Fund7,DApps & Integrations,Verifiable NFT-based resumes/CV,39254036,6328784,174,25000,NOT FUNDED,3.94
Fund7,DApps & Integrations,Events Adoption & Reward,40288500,7745381,221,39000,NOT FUNDED,4.58
Fund7,DApps & Integrations,Frictionless document verification,46138003,13842871,214,30000,NOT FUNDED,4
Fund7,DApps & Integrations,StreamChainQuery,41988719,10159188,210,51500,NOT FUNDED,4.5
Fund7,DApps & Integrations,DeFi tools for Content Creators,37298570,6549748,191,10000,NOT FUNDED,4.13
Fund7,DApps & Integrations,ADA to Mobile Money App,37371867,7782547,180,14000,NOT FUNDED,3.22
Fund7,DApps & Integrations,Win-Win Platform Auditing,35236647,9517161,183,30000,NOT FUNDED,4.08
Fund7,DApps & Integrations,P2P Manufacturing with Adosia IoT,42600128,17746744,247,40000,NOT FUNDED,4.07
Fund7,DApps & Integrations,Thrift Mobile Wallet,35098440,14037356,206,16420,NOT FUNDED,4.4
Fund7,DApps & Integrations,Dapp for Art & Creator Discovery,34179549,13275146,184,30000,NOT FUNDED,4.08
Fund7,DApps & Integrations,The Climate Change Lottery,31930700,13230515,235,17000,NOT FUNDED,4.19
Fund7,DApps & Integrations,FetaChain: Renovating the Foodchain,32768861,17533086,189,20000,NOT FUNDED,4
Fund7,DApps & Integrations,Cardano Smart Students DApp,28614008,16286049,191,80000,NOT FUNDED,3.81
Fund7,DApps & Integrations,open source automation for cardano,29018807,17095067,174,2500,NOT FUNDED,3.75
Fund7,DApps & Integrations,Integration in Trustee Wallet,27071993,15871321,166,45000,NOT FUNDED,3.93
Fund7,DApps & Integrations,NFT-DAO Boxcar Framework Contracts,26757318,16848210,158,29600,NOT FUNDED,3.83
Fund7,DApps & Integrations,Benefits App,28211098,20276829,192,115200,NOT FUNDED,3.93
Fund7,DApps & Integrations,Trustful Global Projects,26222273,19472003,157,80100,NOT FUNDED,3.67
Fund7,DApps & Integrations,P2P dApp for sharing tech gadgets.,26373968,20092188,150,56000,NOT FUNDED,3.62
Fund7,DApps & Integrations,Cardano features for everyone,17355183,13022218,161,15000,NOT FUNDED,3.4
Fund7,DApps & Integrations,Dollar-Cost Averaging DApp,17591821,13297602,166,15000,NOT FUNDED,3.07
Fund7,DApps & Integrations,@chain-lib WordPress Plugin,17535270,15846532,144,7326,NOT FUNDED,1.83
Fund7,DApps & Integrations,Local Charity Fundraising Platform,15465094,13958630,142,10000,NOT FUNDED,3.27
Fund7,DApps & Integrations,Tokenized Scripting as a Service,17523803,16072634,136,13000,NOT FUNDED,2
Fund7,DApps & Integrations,NFTPass - NFT Ticketing Solution,16584473,15317908,154,40000,NOT FUNDED,3.08
Fund7,DApps & Integrations,Embedded EUTXO Manager,17463670,16362985,144,10000,NOT FUNDED,1.58
Fund7,DApps & Integrations,Supply chains for industry 5.0,14996198,13965724,141,9000,NOT FUNDED,1.81
Fund7,DApps & Integrations,NFT Trading Platform / DApp,16221670,15537194,148,23880,NOT FUNDED,3.22
Fund7,DApps & Integrations,Safety & Traceability in Cosmetics,15868263,15233944,140,28000,NOT FUNDED,2.78
Fund7,DApps & Integrations,Dokurizi - decentralised journalism,17440890,16855474,165,120000,NOT FUNDED,2.56
Fund7,DApps & Integrations,StoryTime - A Writers Marketplace,17281303,16707663,155,41200,NOT FUNDED,2.47
Fund7,DApps & Integrations,Galaxy Art DeFi Art Gallery,16022392,15799632,142,30000,NOT FUNDED,3.11
Fund7,DApps & Integrations,Market-Agnostic Recursive Royalties,17295399,17465793,153,12000,NOT FUNDED,1.47
Fund7,DApps & Integrations,Vertra: tokenized properties market,15812993,16038537,147,60000,NOT FUNDED,2.58
Fund7,DApps & Integrations,DLT & AI for Transport & Logistics,17316812,18011458,144,10000,NOT FUNDED,1.71
Fund7,DApps & Integrations,Blockchain based insurance pool,15105787,15942734,143,29000,NOT FUNDED,2.4
Fund7,DApps & Integrations,Building 'Realverse' Metaverse Dapp,15019507,15943188,139,10000,NOT FUNDED,2.39
Fund7,DApps & Integrations,NFT market place to metaverse,15357776,16446756,146,21000,NOT FUNDED,2
Fund7,DApps & Integrations,Jakazi Handyman DApp,15015235,16307308,140,30000,NOT FUNDED,1.83
Fund7,DApps & Integrations,PRToken,14833809,16244022,134,28000,NOT FUNDED,2.44
Fund7,DApps & Integrations,Reverse Bidding Platform,18729171,20154990,163,28600,NOT FUNDED,3.11
Fund7,DApps & Integrations,chain-lib Token Viewer for everyone,14834157,16473901,135,9562,NOT FUNDED,2.2
Fund7,DApps & Integrations,New wallet for all OST participant,14907474,16685343,148,75000,NOT FUNDED,2.78
Fund7,DApps & Integrations,Anti-counterfeit B2B ecosyst Africa,17643198,19457767,160,65000,NOT FUNDED,3.33
Fund7,DApps & Integrations,Wine open market - Stappato,16927940,19122429,165,10000,NOT FUNDED,3.33
Fund7,DApps & Integrations,Decentralized Bees Delivery System,14662522,16876212,142,21000,NOT FUNDED,1.67
Fund7,DApps & Integrations,Breaking Worthless Traditions,15649605,18175331,147,55000,NOT FUNDED,2.04
Fund7,DApps & Integrations,@chain-lib Bidding Smart Contract,14584065,17115766,146,15907,NOT FUNDED,1.5
Fund7,DApps & Integrations,@chain-lib bundle selling component,14586436,17202888,143,15439,NOT FUNDED,1.56
Fund7,DApps & Integrations,Before Will DApp,17360669,20042411,150,56000,NOT FUNDED,3.08
Fund7,DApps & Integrations,@chain-lib Token mint/sell any site,14567617,18167915,135,14907,NOT FUNDED,1.89
Fund7,DApps & Integrations,Interaction with blockchain,14606923,18493204,144,20000,NOT FUNDED,1.56
Fund7,DApps & Integrations,Virtual Billboard,14772493,19810969,166,60000,NOT FUNDED,1.78
Fund7,DApps & Integrations,Content Wallet for Experiences,14783075,20778965,180,100000,NOT FUNDED,1.4
Fund7,DApps & Integrations,Smart Contract Video Streaming,17335319,23387070,183,45000,NOT FUNDED,1.22
Fund7,Disarm cyber disinformation att,Defending Cardano Staking Ecosystem,251099486,2208982,1640,39500,FUNDED,4.83
Fund7,Disarm cyber disinformation att,Fact Check for Cardano,160751531,3714248,965,20000,FUNDED,4.52
Fund7,Disarm cyber disinformation att,Japanese FUD / SCAM Buster 100,142915932,11429946,365,1500,FUNDED,3.63
Fund7,Disarm cyber disinformation att,Factpage: Cardano fact check site,98673207,3155973,464,28500,FUNDED,4.25
Fund7,Disarm cyber disinformation att,Prevent Attacks on Cardano,64217931,7676531,332,33000,NOT FUNDED,3.39
Fund7,Disarm cyber disinformation att,GOV: Timelines and Treasury Data,65863177,9485376,345,25000,NOT FUNDED,3.76
Fund7,Disarm cyber disinformation att,Reduce Disinformation With Facts,64349187,9026611,465,15000,NOT FUNDED,4.42
Fund7,Disarm cyber disinformation att,CARDANO SCAMWATCH TASK FORCE,48428384,8613201,289,3627,FUNDED,3.42
Fund7,Disarm cyber disinformation att,Scam & disinformation database,37297854,11945910,253,13200,NOT FUNDED,3.33
Fund7,Disarm cyber disinformation att,Cross Chain Cyber Security Collab,31397947,14415775,252,11000,NOT FUNDED,3.24
Fund7,Disarm cyber disinformation att,Publishers Information Hub,24189575,19505205,205,10000,NOT FUNDED,2.67
Fund7,Gamers On-Chained,Cardano games assets for Unity,182708553,2669545,1004,57000,FUNDED,4.89
Fund7,Gamers On-Chained,Social Mobile Game powered by CNFTs,155971118,4885876,1056,45000,FUNDED,4.92
Fund7,Gamers On-Chained,IRONSKY PlaytoEarn Milestone of ADA,148875069,5262389,790,31426,FUNDED,4.92
Fund7,Gamers On-Chained,Terra Cognita: AI+Blockchain Gaming,149791899,6220525,754,54000,FUNDED,4.88
Fund7,Gamers On-Chained,Cardano After Dark - Hold'em poker,118924628,6126433,554,40000,FUNDED,4.61
Fund7,Gamers On-Chained,NFT Game Assets API - [Revelar],106981840,4337354,402,10300,FUNDED,4.67
Fund7,Gamers On-Chained,AdaQuest - Concept Phase 2,90849670,8578570,497,55000,NOT FUNDED,4.58
Fund7,Gamers On-Chained,No-Code NFT Generator [Revelar],85838279,4874637,279,13600,NOT FUNDED,4.5
Fund7,Gamers On-Chained,Sandbox-MMO for language learning,84580841,6399856,278,33600,NOT FUNDED,4.46
Fund7,Gamers On-Chained,Game Asset Management - [Revelar],72016542,2528150,255,7650,FUNDED,4.53
Fund7,Gamers On-Chained,Game Asset Image Embed [Revelar],74688803,5454397,194,11400,NOT FUNDED,4.33
Fund7,Gamers On-Chained,Flooftopia: An Adorable CNFT Game!,71090502,6690088,309,55000,NOT FUNDED,4.52
Fund7,Gamers On-Chained,Cross-NFT Gaming: NFT Fighters,63517581,5396310,243,37000,NOT FUNDED,4.5
Fund7,Gamers On-Chained,Game Asset Minting Logic [Revelar],60629805,3409285,224,8500,NOT FUNDED,4.5
Fund7,Gamers On-Chained,Game Asset Analytics [Revelar],56083470,4389728,182,11400,NOT FUNDED,4.21
Fund7,Gamers On-Chained,Game Token Design [Revelar + Duo],59858139,9503279,271,12000,NOT FUNDED,4.6
Fund7,Gamers On-Chained,Gamify LacedWhales Twitter bot,44600832,4380855,187,4000,FUNDED,4.21
Fund7,Gamers On-Chained,OMIMIMO The Pure Water CNFTGame,46975840,10309905,148,59000,NOT FUNDED,3.5
Fund7,Gamers On-Chained,Be a Tree! - The Tree Simulator!!,40651900,7243120,173,18300,NOT FUNDED,3.67
Fund7,Gamers On-Chained,A Moon Based Metaverse on Cardano,41080288,11139891,250,35000,NOT FUNDED,4.21
Fund7,Gamers On-Chained,Defiants: Tales of the Ghostchain,36383270,10373401,179,13500,NOT FUNDED,4.21
Fund7,Gamers On-Chained,World of Pirates,36292207,12429093,218,60000,NOT FUNDED,3.96
Fund7,Gamers On-Chained,CrypTrolls: A DAO Gaming Experience,38462468,14781103,156,90000,NOT FUNDED,3.67
Fund7,Gamers On-Chained,Gaming dApp Hackathon,34805375,12730916,216,50000,NOT FUNDED,2.08
Fund7,Gamers On-Chained,Gliese 16c - Asian NFT game,35527632,14908355,149,33300,NOT FUNDED,4
Fund7,Gamers On-Chained,Connecting Tabletop Games & Cardano,33366179,13100956,200,50000,NOT FUNDED,3.93
Fund7,Gamers On-Chained,Adalot the MMO/RPG/ECO-Sim,31587375,12754320,186,80000,NOT FUNDED,4.17
Fund7,Gamers On-Chained,NFT pools for game asset swaps,29109955,10735832,152,15000,NOT FUNDED,3.89
Fund7,Gamers On-Chained,FulBit - NFT Football Game,29957073,12550726,169,15000,NOT FUNDED,4.08
Fund7,Gamers On-Chained,Plug-n-Play NFT/GameFi Toolkit,37127663,20077436,191,150000,NOT FUNDED,3.75
Fund7,Gamers On-Chained,Trybbles Blockchain-Enabled AR Pets,37968960,21490563,202,159100,NOT FUNDED,4.17
Fund7,Gamers On-Chained,Megaclite - Game Dev and Consulting,27936860,13423897,145,100000,NOT FUNDED,3.78
Fund7,Gamers On-Chained,Mechverse:Origin NFT based Game,26441444,13542467,145,40000,NOT FUNDED,3.78
Fund7,Gamers On-Chained,Metahagane - NFT Trading card game.,26104823,15197472,130,34500,NOT FUNDED,3.33
Fund7,Gamers On-Chained,Bears Club - Club Simulation Game,24844980,14917753,134,40000,NOT FUNDED,3.47
Fund7,Gamers On-Chained,Onboarding Untapped Communities,29243871,20588156,151,50000,NOT FUNDED,3.89
Fund7,Gamers On-Chained,market jetchicken NFT card game,23704339,15234185,159,32000,NOT FUNDED,2.67
Fund7,Gamers On-Chained,Firestrike Soccer Game Migration,29071362,23407015,163,174000,NOT FUNDED,3.56
Fund7,Gamers On-Chained,ReWILD! : Bison Ranching in AR,27322727,22558097,146,65000,NOT FUNDED,3.72
Fund7,Gamers On-Chained,Gamifying Littercoin,17585339,13902711,148,75000,NOT FUNDED,3.27
Fund7,Gamers On-Chained,Building the Realverse,15561222,13575800,129,10000,NOT FUNDED,2.89
Fund7,Gamers On-Chained,Virtual Portal: Decentralized Place,17028944,15205072,147,1500,NOT FUNDED,1.72
Fund7,Gamers On-Chained,Simple Play to Earn Game,15991419,14595773,141,25000,NOT FUNDED,2.47
Fund7,Gamers On-Chained,Money Management Game for Minors,16603616,15562719,146,50000,NOT FUNDED,2.08
Fund7,Gamers On-Chained,Cross-NFT Gaming: Shared Metaverse,15655996,14848919,133,35000,NOT FUNDED,2.87
Fund7,Gamers On-Chained,DeFantasy- Daily Fantasy Football g,17077723,17253802,142,30000,NOT FUNDED,2.05
Fund7,Gamers On-Chained,Fractional minting application,16084610,16494626,135,20000,NOT FUNDED,2
Fund7,Gamers On-Chained,OctoWars - a DCCG based world,16108459,17505456,146,125000,NOT FUNDED,2.22
Fund7,Gamers On-Chained,Clash royale & starcraft mixed game,15598259,17261334,144,35000,NOT FUNDED,2.17
Fund7,Gamers On-Chained,Play-to-Earn NFT Football game,15059072,17675213,160,60000,NOT FUNDED,1.75
Fund7,Gamers On-Chained,Platform for painters,14829854,17992276,157,30000,NOT FUNDED,1.72
Fund7,Gamers On-Chained,Naisula and Aida,14530081,19340828,159,30000,NOT FUNDED,1.4
Fund7,Global Sustainable Indep. SPOs,Open Source Guide: Off-Grid Pi Node,110823223,2204682,483,3500,FUNDED,5
Fund7,Global Sustainable Indep. SPOs,ADAPlus - Pool Boost,88733270,7195835,441,38100,FUNDED,4.78
Fund7,Global Sustainable Indep. SPOs,Easy Node Deployment - [Revelar],84538499,5352764,218,5000,FUNDED,4.39
Fund7,Global Sustainable Indep. SPOs,Stakeboard: Social Staking Platform,87815131,9640560,451,45500,FUNDED,4.73
Fund7,Global Sustainable Indep. SPOs,Staking DAO: Supporting Single SPOs,72770936,7987158,246,35000,NOT FUNDED,4
Fund7,Global Sustainable Indep. SPOs,Cardsec : SPO Self-Audit Toolkit,67326596,7556263,145,20500,NOT FUNDED,4.21
Fund7,Global Sustainable Indep. SPOs,Marketing Training for African SPOs,58885604,8192619,207,8000,NOT FUNDED,4.44
Fund7,Global Sustainable Indep. SPOs,SPOs Supporting Community Projects,54649460,5651752,241,6650,FUNDED,4.56
Fund7,Global Sustainable Indep. SPOs,Delegation Matching Service,62502248,13553463,169,14800,NOT FUNDED,3.75
Fund7,Global Sustainable Indep. SPOs,A world map of green Cardano,52237683,15429193,320,25000,NOT FUNDED,4.56
Fund7,Global Sustainable Indep. SPOs,MissionDrivenPools Media Competiton,41247616,8229215,125,4000,NOT FUNDED,4.25
Fund7,Global Sustainable Indep. SPOs,Stake Pool Key Documentation,48103194,15855455,171,1000,FUNDED,4.33
Fund7,Global Sustainable Indep. SPOs,Pre-installed stakepool boxes,42454242,13170870,168,12900,NOT FUNDED,4.33
Fund7,Global Sustainable Indep. SPOs,Simplify SPO operations in Vietnam,42251770,13787296,150,19670,NOT FUNDED,4.25
Fund7,Global Sustainable Indep. SPOs,Mission driven and Accountable!,37683213,11146508,151,15000,NOT FUNDED,4.28
Fund7,Global Sustainable Indep. SPOs,Bare Metal Green Infrastructure,38119878,16357880,122,20000,NOT FUNDED,3.17
Fund7,Global Sustainable Indep. SPOs,Mission& Vision driven SPO Networks,32072743,12978015,157,10500,NOT FUNDED,4.44
Fund7,Global Sustainable Indep. SPOs,Sustainable SPO's Impact & Stories,27484447,14258478,108,15000,NOT FUNDED,3.92
Fund7,Global Sustainable Indep. SPOs,ALMAGUA CO2,26161553,16627706,104,10000,NOT FUNDED,3.6
Fund7,Global Sustainable Indep. SPOs,Eco SPOs to support Climate Action,18855354,17562928,128,10000,NOT FUNDED,3.17
Fund7,Global Sustainable Indep. SPOs,SolarPowered Community Staking Pool,19919416,19771245,140,30000,NOT FUNDED,2.67
Fund7,"Grow Latin America, Grow Cardan",Introductory Blockchain MOOC PT-BR,162412637,1679736,701,9150,FUNDED,4.9
Fund7,"Grow Latin America, Grow Cardan",LATAM Industry Presentation Kit,126729658,986384,518,7500,FUNDED,4.78
Fund7,"Grow Latin America, Grow Cardan",LATAM Town Hall by Catalyst Swarm,121516925,4002087,483,19488,FUNDED,4.77
Fund7,"Grow Latin America, Grow Cardan",ALDEA NFT - Community Marketplace,116407434,4285250,393,26850,FUNDED,4.75
Fund7,"Grow Latin America, Grow Cardan",New d-EdTech Platform for LatAm,109327718,6268567,300,51040,FUNDED,4.67
Fund7,"Grow Latin America, Grow Cardan",Platform for Cardano Solar Farms,102884538,2645246,310,14400,FUNDED,4.56
Fund7,"Grow Latin America, Grow Cardan",Cardano Ambassadors & Latin America,97536383,2234379,332,35500,FUNDED,4.6
Fund7,"Grow Latin America, Grow Cardan",The Catalyst School | LATAM,87795196,1031702,263,15070,FUNDED,4.59
Fund7,"Grow Latin America, Grow Cardan",Win-Win Expansion in Latam,89345355,3577146,288,15000,FUNDED,4.67
Fund7,"Grow Latin America, Grow Cardan","Token Allies, Latam Businesses",80821156,2655313,199,25000,FUNDED,4.56
Fund7,"Grow Latin America, Grow Cardan",DeFi School - Latin America,79067054,2927706,223,16896,FUNDED,4.33
Fund7,"Grow Latin America, Grow Cardan",Onboard Latin-American Industry!,77596280,2228159,216,7500,FUNDED,4.53
Fund7,"Grow Latin America, Grow Cardan",Newcomer Resources en Espaol,74687537,1316841,290,8000,FUNDED,4.6
Fund7,"Grow Latin America, Grow Cardan",Cardano for STEM Brazilian students,74939763,1729513,151,7500,FUNDED,4.17
Fund7,"Grow Latin America, Grow Cardan",Decentralized Education - dTeach,75304135,3118108,277,29000,FUNDED,4.67
Fund7,"Grow Latin America, Grow Cardan",GameChanger: Dandelion Deployment,83913885,13486195,421,3600,FUNDED,4.78
Fund7,"Grow Latin America, Grow Cardan",NOETH: Cardano for science in LATAM,76014303,5676968,193,30000,FUNDED,4.53
Fund7,"Grow Latin America, Grow Cardan",CardanoRio 2022: Hybrid event,68967750,2501187,221,17501,FUNDED,4.58
Fund7,"Grow Latin America, Grow Cardan",Sustainable LatinAmerican Use cases,65414323,1711347,191,12000,FUNDED,4.53
Fund7,"Grow Latin America, Grow Cardan",Spanish/Portuguese Voter Survey-AIM,70969382,13669170,335,10500,FUNDED,4.73
Fund7,"Grow Latin America, Grow Cardan",Networking/Education LATAM,66385528,12113193,182,53000,FUNDED,4.5
Fund7,"Grow Latin America, Grow Cardan",Cardano Totem: Onboarding the World,68940178,16630628,319,40500,FUNDED,4.67
Fund7,"Grow Latin America, Grow Cardan",Support small farmers in LATAM,54284915,4006701,180,20000,FUNDED,4.33
Fund7,"Grow Latin America, Grow Cardan","Grow ALDEA, Grow Latin America",53148830,4471579,200,24780,FUNDED,4.19
Fund7,"Grow Latin America, Grow Cardan",DID market study & deployment,57104112,8485286,126,30000,NOT FUNDED,3.72
Fund7,"Grow Latin America, Grow Cardan",Decentralized Content Distribution,60982495,13160082,139,28450,NOT FUNDED,4.17
Fund7,"Grow Latin America, Grow Cardan",Food produced with Agriculture 4.0,52406516,5098161,175,85000,NOT FUNDED,4.17
Fund7,"Grow Latin America, Grow Cardan",DALE,59329389,13855321,162,35000,NOT FUNDED,4.5
Fund7,"Grow Latin America, Grow Cardan",Endorsing the marginalized,53195351,9045041,170,37000,NOT FUNDED,4.5
Fund7,"Grow Latin America, Grow Cardan",Pathform LATAM: Custom growth paths,52129918,11884138,182,35460,NOT FUNDED,4.53
Fund7,"Grow Latin America, Grow Cardan",Milkomeda Latam Hackathon,53600053,17633287,249,50000,NOT FUNDED,3.58
Fund7,"Grow Latin America, Grow Cardan",Milkomeda documentation (es & pt),52779357,17262369,224,4000,NOT FUNDED,2.92
Fund7,"Grow Latin America, Grow Cardan",Spanish courses for universities,48610816,14870133,181,4440,NOT FUNDED,4.39
Fund7,"Grow Latin America, Grow Cardan",Latam Women Cardano Plutus Bootcamp,44019535,13640152,212,70000,NOT FUNDED,4.33
Fund7,"Grow Latin America, Grow Cardan",Portuguese onboarding Video Series,36471086,7026586,132,6000,NOT FUNDED,3.42
Fund7,"Grow Latin America, Grow Cardan",Cardano Training & Complex Networks,41958864,13231604,154,14025,NOT FUNDED,4.33
Fund7,"Grow Latin America, Grow Cardan",Gig Economy Marketplace LatAm,42396612,18098951,163,78590,NOT FUNDED,4.42
Fund7,"Grow Latin America, Grow Cardan",Latam Community DID Research,41329002,18054775,129,30300,NOT FUNDED,4.11
Fund7,"Grow Latin America, Grow Cardan",cardway.finance - A payment gateway,40386235,17771005,170,146872,NOT FUNDED,4
Fund7,"Grow Latin America, Grow Cardan",Cardano Dev Portugus Brazil,44610157,22242107,161,21500,NOT FUNDED,4.25
