Fund,Proposal,Challenge,Link,Overall score,Votes cast,YES,ABSTAIN,NO,Result,Meets approval threshold,REQUESTED,STATUS,FUND DEPLETION,Reason for not funded status,Category,Ccy,proposal_id,URL,No. Assessments,# valid reviews,"# allocated
(out of valid)",% of valid,"% of allocated
(out of valid)","Impact
score","Feasibility
score","Value for money
score"
Fund11,[ADAXON] BlueTick: Privacy-First Cardano-based Instant Messaging Solution,Cardano Use Cases: Solution,https://projectcatalyst.io/funds/11/cardano-use-cases-solution/adaxon-bluetick-privacy-first-cardano-based-instant-messaging-solution,3.41,268,41636679,13714113,0,41636679,NO,112000,NOT FUNDED,31676,Approval Threshold,Cardano Use Cases Solution,ADA,113696,https://app.ideascaleapp.eu/t/UCNZfi2,61,44,43,72.13%,97.73%,3.62,3.42,3.2
Fund11,[ADAXON] CardanoVision: Empowering Users with Decentralized Facial Authentication,Cardano Use Cases: Concept,https://projectcatalyst.io/funds/11/cardano-use-cases-concept/adaxon-cardanovision-empowering-users-with-decentralized-facial-authentication,4.02,304,39174864,13122087,0,39174864,NO,80000,NOT FUNDED,947140,Approval Threshold,Cardano Use Cases Concept,ADA,113636,https://app.ideascaleapp.eu/t/UCNZfh3,52,30,26,57.69%,86.67%,4.34,3.88,3.85
Fund11,[ADAXON] HarmonyAI: Mental Health for Cardano DeFi,Cardano Use Cases: Solution,https://projectcatalyst.io/funds/11/cardano-use-cases-solution/adaxon-harmonyai-mental-health-for-cardano-defi,3.68,248,26634346,25856230,0,26634346,NO,120000,NOT FUNDED,31676,Approval Threshold,Cardano Use Cases Solution,ADA,113702,https://app.ideascaleapp.eu/t/UCNZfi8,47,33,31,70.21%,93.94%,3.62,3.82,3.59
Fund11,[bLott] - Transparency OnChain Self-Govern Lottery System || Players mode MVP,Cardano Use Cases: Concept,https://projectcatalyst.io/funds/11/cardano-use-cases-concept/blott-transparency-onchain-self-govern-lottery-system-oror-players-mode-mvp,3.88,290,26831451,12993124,0,26831451,NO,95000,NOT FUNDED,947140,Approval Threshold,Cardano Use Cases Concept,ADA,114085,https://app.ideascaleapp.eu/t/UCNZfpP,47,33,33,70.21%,100.00%,3.82,3.91,3.91
Fund11,[C2VN] Accelerate Atala PRISM learning and adoption in Universities,Cardano Open: Ecosystem,https://projectcatalyst.io/funds/11/cardano-open-ecosystem/c2vn-accelerate-atala-prism-learning-and-adoption-in-universities-8d47f,4.32,336,61915531,14284202,0,61915531,YES,148225,FUNDED,4866866,,Cardano Open Ecosystem,ADA,111415,https://app.ideascaleapp.eu/t/UCNZe6e,68,53,36,77.94%,67.92%,4.43,4.37,4.17
Fund11,[C2VN]: Cardano Blockchain training center for non-native English communities developers,Cardano Open: Ecosystem,https://projectcatalyst.io/funds/11/cardano-open-ecosystem/c2vn-cardano-blockchain-training-center-for-non-native-english-communities-developers-00026,4.21,282,35094505,15916282,0,35094505,NO,160120,NOT FUNDED,1389022,Approval Threshold,Cardano Open Ecosystem,ADA,111405,https://app.ideascaleapp.eu/t/UCNZe6T,59,37,28,62.71%,75.68%,4.35,4.23,4.04
Fund11,[C2VN]: Cardano developer club in Universities,Cardano Open: Ecosystem,https://projectcatalyst.io/funds/11/cardano-open-ecosystem/c2vn-cardano-developer-club-in-universities-3e95c,4.25,297,46067432,17034931,0,46067432,YES,118361,FUNDED,1569022,,Cardano Open Ecosystem,ADA,111397,https://app.ideascaleapp.eu/t/UCNZe6L,74,57,34,77.03%,59.65%,4.36,4.34,4.05
Fund11,[C2VN]: Cardano developer courseware in Universities,Cardano Open: Ecosystem,https://projectcatalyst.io/funds/11/cardano-open-ecosystem/c2vn-cardano-developer-courseware-in-universities-10d61,4.11,283,44814102,13879320,0,44814102,NO,146333,NOT FUNDED,1389022,Approval Threshold,Cardano Open Ecosystem,ADA,111372,https://app.ideascaleapp.eu/t/UCNZe5w,57,38,32,66.67%,84.21%,4.22,4.19,3.92
Fund11,[FIMI] Cardano on Youtube - Vietnamese version,Cardano Open: Ecosystem,https://projectcatalyst.io/funds/11/cardano-open-ecosystem/fimi-cardano-on-youtube-vietnamese-version,4.19,375,42956681,12084586,0,42956681,NO,42000,NOT FUNDED,1389022,Approval Threshold,Cardano Open Ecosystem,ADA,112335,https://app.ideascaleapp.eu/t/UCNZfLj,56,41,36,73.21%,87.80%,4.15,4.26,4.15
Fund11,[FIMI] Cardano Talk for Vietnamese (phase 2),Cardano Open: Ecosystem,https://projectcatalyst.io/funds/11/cardano-open-ecosystem/fimi-cardano-talk-for-vietnamese-phase-2,4.19,374,38876112,26697032,0,38876112,NO,33600,NOT FUNDED,1389022,Approval Threshold,Cardano Open Ecosystem,ADA,112317,https://app.ideascaleapp.eu/t/UCNZfLQ,71,48,25,67.61%,52.08%,4.28,4.24,4.05
Fund11,[FIMI] cardano.vn - Cardano information portal for Vietnamese people,Cardano Open: Ecosystem,https://projectcatalyst.io/funds/11/cardano-open-ecosystem/fimi-cardanovn-cardano-information-portal-for-vietnamese-people,4.41,384,54016706,13467932,0,54016706,YES,17550,FUNDED,3331520,,Cardano Open Ecosystem,ADA,112325,https://app.ideascaleapp.eu/t/UCNZfLY,67,49,31,73.13%,63.27%,4.33,4.56,4.35
Fund11,[FIMI] Free Marlowe Course for Vietnamese,Cardano Open: Ecosystem,https://projectcatalyst.io/funds/11/cardano-open-ecosystem/fimi-free-marlowe-course-for-vietnamese,4.36,414,56891877,10250578,0,56891877,YES,25000,FUNDED,4143720,,Cardano Open Ecosystem,ADA,112320,https://app.ideascaleapp.eu/t/UCNZfLT,99,80,41,80.81%,51.25%,4.4,4.4,4.27
Fund11,[FIMI] Plutus Pioneer #4 - Translating video dubbing in Vietnamese,Cardano Open: Ecosystem,https://projectcatalyst.io/funds/11/cardano-open-ecosystem/fimi-plutus-pioneer-4-translating-video-dubbing-in-vietnamese,4.24,346,66827913,17608194,0,66827913,YES,20628,FUNDED,5527692,,Cardano Open Ecosystem,ADA,112327,https://app.ideascaleapp.eu/t/UCNZfLb,44,32,27,72.73%,84.38%,4.26,4.37,4.1
Fund11,"[nftcdn.io] NSFW NFT Detection for Marketplaces, Wallets & Explorers",Cardano Use Cases: Product,https://projectcatalyst.io/funds/11/cardano-use-cases-product/nftcdnio-nsfw-nft-detection-for-marketplaces-wallets-and-explorers,4.07,526,117371469,20708488,0,117371469,YES,149999,NOT FUNDED,52529,Over Budget,Cardano Use Cases Product,ADA,114408,https://app.ideascaleapp.eu/t/UCNZfui,64,48,39,75.00%,81.25%,4.15,4.16,3.9
Fund11,[nftcdn.io] Universal NFT Viewer API (Music+Video+Web+3D+...),Cardano Use Cases: Product,https://projectcatalyst.io/funds/11/cardano-use-cases-product/nftcdnio-universal-nft-viewer-api-musicvideoweb3d,4.11,535,120053863,22051844,0,120053863,YES,299999,NOT FUNDED,52529,Over Budget,Cardano Use Cases Product,ADA,114428,https://app.ideascaleapp.eu/t/UCNZfu2,60,47,40,78.33%,85.11%,4.33,4.17,3.84
Fund11,"[selfdriven|1] Integrating SSI, DID, and Soulbound Tokens with the Selfdriven educational framework for transformative education and credentialing. (Scientific Research)",Cardano Open: Ecosystem,https://projectcatalyst.io/funds/11/cardano-open-ecosystem/selfdrivenor1-integrating-ssi-did-and-soulbound-tokens-with-the-selfdriven-educational-framework-for-transformative-education-and-credentialing-scientific-research,3.54,198,22236704,15414310,0,22236704,NO,45000,NOT FUNDED,1389022,Approval Threshold,Cardano Open Ecosystem,ADA,113173,https://app.ideascaleapp.eu/t/UCNZfaS,44,29,29,65.91%,100.00%,3.62,3.66,3.34
Fund11,"[selfdriven|2] Upgrade the selfdriven Apps to support SSI & xAPI Standards, and DAO Functionality (Open-Source)",Cardano Use Cases: Product,https://projectcatalyst.io/funds/11/cardano-use-cases-product/selfdrivenor2-upgrade-the-selfdriven-apps-to-support-ssi-and-xapi-standards-and-dao-functionality-open-source,3.89,257,32498928,11312099,0,32498928,NO,98000,NOT FUNDED,27529,Approval Threshold,Cardano Use Cases Product,ADA,111759,https://app.ideascaleapp.eu/t/UCNZfCH,63,45,33,71.43%,73.33%,4.01,3.93,3.73
Fund11,[selfdriven|4] A Methodology for Enabling Self-Driven CommunityDAOs,Cardano Use Cases: Concept,https://projectcatalyst.io/funds/11/cardano-use-cases-concept/selfdrivenor4-a-methodology-for-enabling-self-driven-communitydaos,3.69,285,29331504,15708140,0,29331504,NO,30000,NOT FUNDED,947140,Approval Threshold,Cardano Use Cases Concept,ADA,111343,https://app.ideascaleapp.eu/t/UCNZe5S,43,33,30,76.74%,90.91%,3.73,3.69,3.64
Fund11,[selfdriven|5] Path to Decentralised Self-Driven Learning Communities (Sociological Research/Systems Theory),Cardano Open: Ecosystem,https://projectcatalyst.io/funds/11/cardano-open-ecosystem/selfdrivenor5-path-to-decentralised-self-driven-learning-communities-sociological-researchsystems-theory,3.73,188,22821802,11540818,0,22821802,NO,32000,NOT FUNDED,1389022,Approval Threshold,Cardano Open Ecosystem,ADA,113186,https://app.ideascaleapp.eu/t/UCNZfag,44,33,33,75.00%,100.00%,3.85,3.73,3.61
Fund11,[Swapaire] NFT Swap dApp: instant and secure NFT swaps,Cardano Use Cases: Concept,https://projectcatalyst.io/funds/11/cardano-use-cases-concept/swapaire-nft-swap-dapp-instant-and-secure-nft-swaps,3.47,299,28600767,22700955,0,28600767,NO,100000,NOT FUNDED,947140,Approval Threshold,Cardano Use Cases Concept,ADA,112253,https://app.ideascaleapp.eu/t/UCNZfKN,38,26,26,68.42%,100.00%,3.96,3.23,3.23
Fund11,[V2target-Dual target for ADA holder],Cardano Use Cases: Solution,https://projectcatalyst.io/funds/11/cardano-use-cases-solution/v2target-dual-target-for-ada-holder-e55f5,3.57,223,22380590,26686629,0,22380590,NO,101333,NOT FUNDED,31676,Approval Threshold,Cardano Use Cases Solution,ADA,112575,https://app.ideascaleapp.eu/t/UCNZfPf,52,39,38,75.00%,97.44%,3.66,3.57,3.47
Fund11,[Vcoincheck.io - Scaling community milestone] - Scale-up ten of thousands Vietnam Cardano community,Cardano Open: Ecosystem,https://projectcatalyst.io/funds/11/cardano-open-ecosystem/vcoincheckio-scaling-community-milestone-scale-up-ten-of-thousands-vietnam-cardano-community,4.33,287,35322052,8142530,0,35322052,NO,47600,NOT FUNDED,1389022,Approval Threshold,Cardano Open Ecosystem,ADA,111885,https://app.ideascaleapp.eu/t/UCNZfEL,54,36,32,66.67%,88.89%,4.33,4.53,4.13
Fund11,🇻🇳 Cardano Coffee Lounge in Universities,Cardano Open: Ecosystem,https://projectcatalyst.io/funds/11/cardano-open-ecosystem/cardano-coffee-lounge-in-universities,3.56,244,22502130,20544200,0,22502130,NO,40480,NOT FUNDED,1389022,Approval Threshold,Cardano Open Ecosystem,ADA,113898,https://app.ideascaleapp.eu/t/UCNZfmL,52,38,34,73.08%,89.47%,3.64,3.54,3.49
Fund11,🇻🇳 The Complete Aiken Course Cardano: From Zero to Expert!,Cardano Open: Ecosystem,https://projectcatalyst.io/funds/11/cardano-open-ecosystem/the-complete-aiken-course-cardano-from-zero-to-expert,3.68,270,50361335,9105339,0,50361335,YES,20000,FUNDED,3065302,,Cardano Open Ecosystem,ADA,111519,https://app.ideascaleapp.eu/t/UCNZe8L,56,42,40,75.00%,95.24%,3.92,3.68,3.44
Fund11,🚥🏎️🏁Cardano Racers: Algorithmic Racing NFT DApp 🏁🏎️🚥,Cardano Use Cases: Solution,https://projectcatalyst.io/funds/11/cardano-use-cases-solution/cardano-racers-algorithmic-racing-nft-dapp,3.91,276,26329758,24792570,0,26329758,NO,285916,NOT FUNDED,31676,Approval Threshold,Cardano Use Cases Solution,ADA,110690,https://app.ideascaleapp.eu/t/UCNZeul,67,49,41,73.13%,83.67%,3.9,3.93,3.9
Fund11,1-Year Education about CARDANO to Brazilian Portuguese-speaking community - Bitnoob,Cardano Open: Ecosystem,https://projectcatalyst.io/funds/11/cardano-open-ecosystem/1-year-education-about-cardano-to-brazilian-portuguese-speaking-community-bitnoob,3.83,209,38929646,13482074,0,38929646,NO,64736,NOT FUNDED,1389022,Approval Threshold,Cardano Open Ecosystem,ADA,113106,https://app.ideascaleapp.eu/t/UCNZfYM,53,43,39,81.13%,90.70%,3.99,3.89,3.6
Fund11,10 Marlowe contract templates - the real life use cases,Cardano Open: Developers,https://projectcatalyst.io/funds/11/cardano-open-developers/10-marlowe-contract-templates-the-real-life-use-cases,4.05,353,93396282,9510118,0,93396282,YES,99040,FUNDED,5347684,,Cardano Open Developers,ADA,114043,https://app.ideascaleapp.eu/t/UCNZfoj,58,38,32,65.52%,84.21%,4.06,4.25,3.85
Fund11,2 Cardano Workshops for secondary students and 1 Cardano Picture Book (both inspired by the japanese Course of Study guideline | 学習指導要領),Cardano Open: Ecosystem,https://projectcatalyst.io/funds/11/cardano-open-ecosystem/2-cardano-workshops-for-secondary-students-and-1-cardano-picture-book-both-inspired-by-the-japanese-course-of-study-guideline-or,3.85,212,20902602,13865469,0,20902602,NO,86040,NOT FUNDED,1389022,Approval Threshold,Cardano Open Ecosystem,ADA,111443,https://app.ideascaleapp.eu/t/UCNZe66,61,40,35,65.57%,87.50%,4.16,3.83,3.57
Fund11,2000 NFTs to Inspire Global Peace in ADA Ecosystem,Cardano Use Cases: Concept,https://projectcatalyst.io/funds/11/cardano-use-cases-concept/2000-nfts-to-inspire-global-peace-in-ada-ecosystem,2.87,304,29908315,20134735,0,29908315,NO,100000,NOT FUNDED,947140,Approval Threshold,Cardano Use Cases Concept,ADA,113690,https://app.ideascaleapp.eu/t/UCNZfiw,50,34,31,68.00%,91.18%,3.21,2.98,2.43
Fund11,2B3D StormRiders - Home of Action Sports - Game Design,Cardano Use Cases: Concept,https://projectcatalyst.io/funds/11/cardano-use-cases-concept/2b3d-stormriders-home-of-action-sports-game-design,3.03,291,19389618,27141857,0,19389618,NO,100000,NOT FUNDED,947140,Approval Threshold,Cardano Use Cases Concept,ADA,112728,https://app.ideascaleapp.eu/t/UCNZfSA,50,33,33,66.00%,100.00%,3.45,3.03,2.61
Fund11,"360+ Daily Newsletters Web3 Cardano Digest about ADA Ecosystem, Projects & Catalyst Funds",Cardano Use Cases: Solution,https://projectcatalyst.io/funds/11/cardano-use-cases-solution/360-daily-newsletters-web3-cardano-digest-about-ada-ecosystem-projects-and-catalyst-funds,3.51,254,25196336,28702940,0,25196336,NO,295938,NOT FUNDED,31676,Approval Threshold,Cardano Use Cases Solution,ADA,111644,https://app.ideascaleapp.eu/t/UCNZfAO,68,49,47,72.06%,95.92%,3.58,3.78,3.16
Fund11,45B - Bring end-users and small businesses to Cardano,Cardano Open: Ecosystem,https://projectcatalyst.io/funds/11/cardano-open-ecosystem/45b-bring-end-users-and-small-businesses-to-cardano,3.03,266,38961114,10050855,0,38961114,NO,33050,NOT FUNDED,1389022,Approval Threshold,Cardano Open Ecosystem,ADA,114561,https://app.ideascaleapp.eu/t/UCNZfxD,62,50,33,80.65%,66.00%,3.3,3.07,2.71
Fund11,45B - Free Cardano Accounting Extracts Core,Cardano Open: Developers,https://projectcatalyst.io/funds/11/cardano-open-developers/45b-free-cardano-accounting-extracts-core,4.07,297,52400013,14291142,0,52400013,YES,86050,NOT FUNDED,81253,Over Budget,Cardano Open Developers,ADA,114345,https://app.ideascaleapp.eu/t/UCNZftg,44,29,26,65.91%,89.66%,4.25,3.97,4
Fund11,45B - Marlowe workshops for Business professionals,Cardano Open: Ecosystem,https://projectcatalyst.io/funds/11/cardano-open-ecosystem/45b-marlowe-workshops-for-business-professionals,4.09,294,56703687,19790483,0,56703687,YES,49500,FUNDED,4094220,,Cardano Open Ecosystem,ADA,114385,https://app.ideascaleapp.eu/t/UCNZfuK,50,36,34,72.00%,94.44%,4.31,4.02,3.94
Fund11,9 DAO sample project - Bringing decentralized governance closer to everyone,Cardano Open: Ecosystem,https://projectcatalyst.io/funds/11/cardano-open-ecosystem/9-dao-sample-project-bringing-decentralized-governance-closer-to-everyone,4.22,262,39271639,5918076,0,39271639,NO,36672,NOT FUNDED,1389022,Approval Threshold,Cardano Open Ecosystem,ADA,111503,https://app.ideascaleapp.eu/t/UCNZe75,50,38,34,76.00%,89.47%,4.33,4.33,4
Fund11,A Cardano Hub in Nyiragongo to Empower an Underserved Region,Cardano Open: Ecosystem,https://projectcatalyst.io/funds/11/cardano-open-ecosystem/a-cardano-hub-in-nyiragongo-to-empower-an-underserved-region,3.68,205,31233311,16996394,0,31233311,NO,34560,NOT FUNDED,1389022,Approval Threshold,Cardano Open Ecosystem,ADA,111588,https://app.ideascaleapp.eu/t/UCNZe9T,50,40,37,80.00%,92.50%,3.65,3.82,3.58
Fund11,A comprehensive tool for streamlining insights for simplifying taxation reporting for Cardano transactions and assets.,Cardano Use Cases: Concept,https://projectcatalyst.io/funds/11/cardano-use-cases-concept/a-comprehensive-tool-for-streamlining-insights-for-simplifying-taxation-reporting-for-cardano-transactions-and-assets,3.69,291,41492202,13030930,0,41492202,NO,76500,NOT FUNDED,947140,Approval Threshold,Cardano Use Cases Concept,ADA,114268,https://app.ideascaleapp.eu/t/UCNZfsP,44,34,34,77.27%,100.00%,3.88,3.62,3.56
Fund11,A dApp for Business Lead Generation,Cardano Use Cases: Concept,https://projectcatalyst.io/funds/11/cardano-use-cases-concept/a-dapp-for-business-lead-generation,4.01,311,40574987,16539407,0,40574987,NO,85000,NOT FUNDED,947140,Approval Threshold,Cardano Use Cases Concept,ADA,112924,https://app.ideascaleapp.eu/t/UCNZfVN,61,39,33,63.93%,84.62%,4.06,4.09,3.89
Fund11,A game hub of traditional mini-game to educate gamers and help investor make profit,Cardano Use Cases: Solution,https://projectcatalyst.io/funds/11/cardano-use-cases-solution/a-game-hub-of-traditional-mini-game-to-educate-gamers-and-help-investor-make-profit,3.82,234,19513690,22956989,0,19513690,NO,181817,NOT FUNDED,31676,Approval Threshold,Cardano Use Cases Solution,ADA,113662,https://app.ideascaleapp.eu/t/UCNZfiT,51,38,38,74.51%,100.00%,3.87,3.82,3.76
Fund11,A new Cardano Learning Management System with an AI helper,Cardano Use Cases: Concept,https://projectcatalyst.io/funds/11/cardano-use-cases-concept/a-new-cardano-learning-management-system-with-an-ai-helper,3.87,308,39757304,15221260,0,39757304,NO,99879,NOT FUNDED,947140,Approval Threshold,Cardano Use Cases Concept,ADA,113862,https://app.ideascaleapp.eu/t/UCNZfll,45,27,25,60.00%,92.59%,3.97,3.87,3.78
Fund11,A Perl module for the Cardano Blockchain Koios API using Perl objects,Cardano Open: Developers,https://projectcatalyst.io/funds/11/cardano-open-developers/a-perl-module-for-the-cardano-blockchain-koios-api-using-perl-objects,3.54,259,39739705,15786445,0,39739705,NO,46500,NOT FUNDED,8153,Approval Threshold,Cardano Open Developers,ADA,111145,https://app.ideascaleapp.eu/t/UCNZe2D,62,29,25,46.77%,86.21%,3.7,3.65,3.28
Fund11,A Task-Market on Cardano to facilitate the block-chain economy,Cardano Use Cases: Concept,https://projectcatalyst.io/funds/11/cardano-use-cases-concept/a-task-market-on-cardano-to-facilitate-the-block-chain-economy,3.74,286,28220734,15749454,0,28220734,NO,100000,NOT FUNDED,947140,Approval Threshold,Cardano Use Cases Concept,ADA,112793,https://app.ideascaleapp.eu/t/UCNZfTE,50,34,33,68.00%,97.06%,3.9,3.61,3.71
Fund11,AbjaDAO Glossary | Translating Cardano to Arabic,Cardano Open: Ecosystem,https://projectcatalyst.io/funds/11/cardano-open-ecosystem/abjadao-glossary-or-translating-cardano-to-arabic,3.74,200,32812759,11643618,0,32812759,NO,49800,NOT FUNDED,1389022,Approval Threshold,Cardano Open Ecosystem,ADA,110600,https://app.ideascaleapp.eu/t/UCNZetH,56,40,30,71.43%,75.00%,3.77,3.77,3.68
Fund11,Access users and build a robust community with multi-channel communication,Cardano Open: Ecosystem,https://projectcatalyst.io/funds/11/cardano-open-ecosystem/access-users-and-build-a-robust-community-with-multi-channel-communication,4,240,24810727,17043496,0,24810727,NO,149954,NOT FUNDED,1389022,Approval Threshold,Cardano Open Ecosystem,ADA,111142,https://app.ideascaleapp.eu/t/UCNZe2A,56,40,35,71.43%,87.50%,4.1,4.15,3.76
Fund11,Account NFT Smart-contract - Mint Verifiably Unique User Accounts that store data on-chain,Cardano Open: Developers,https://projectcatalyst.io/funds/11/cardano-open-developers/account-nft-smart-contract-mint-verifiably-unique-user-accounts-that-store-data-on-chain,3.41,381,139542998,22671335,0,139542998,YES,140000,FUNDED,7107088,,Cardano Open Developers,ADA,113609,https://app.ideascaleapp.eu/t/UCNZfhc,53,32,30,60.38%,93.75%,4.2,3.16,2.88
Fund11,Accounting/reporting for projects built by incorporated entities,Cardano Use Cases: Concept,https://projectcatalyst.io/funds/11/cardano-use-cases-concept/accountingreporting-for-projects-built-by-incorporated-entities,3,268,26217947,15585983,0,26217947,NO,75000,NOT FUNDED,947140,Approval Threshold,Cardano Use Cases Concept,ADA,110012,https://app.ideascaleapp.eu/t/UCNZeje,180,126,27,70.00%,21.43%,3.41,2.84,2.75
Fund11,Accra Resource Center: Igniting African Youth in Cardano & Decentralised Web Innovation.,Cardano Open: Ecosystem,https://projectcatalyst.io/funds/11/cardano-open-ecosystem/accra-resource-center-igniting-african-youth-in-cardano-and-decentralised-web-innovation,4.01,261,45369752,16921829,0,45369752,YES,180000,FUNDED,1389022,,Cardano Open Ecosystem,ADA,110649,https://app.ideascaleapp.eu/t/UCNZet5,57,39,32,68.42%,82.05%,4.36,3.98,3.69
Fund11,Ada to Mobile Money: Unlocking Financial Access in Africa,Cardano Use Cases: Solution,https://projectcatalyst.io/funds/11/cardano-use-cases-solution/ada-to-mobile-money-unlocking-financial-access-in-africa,4.3,478,99310881,8912436,0,99310881,YES,107800,FUNDED,61676,,Cardano Use Cases Solution,ADA,110183,https://app.ideascaleapp.eu/t/UCNZemR,121,86,36,71.07%,41.86%,4.49,4.12,4.3
Fund11,ADABET.iO | Cardano Betting DApp Platform | Phase 2 Expand build to product.,Cardano Use Cases: Product,https://projectcatalyst.io/funds/11/cardano-use-cases-product/adabetio-or-cardano-betting-dapp-platform-or-phase-2-expand-build-to-product,4.15,368,38053500,21605608,0,38053500,NO,483329,NOT FUNDED,27529,Approval Threshold,Cardano Use Cases Product,ADA,113960,https://app.ideascaleapp.eu/t/UCNZfnM,46,28,27,60.87%,96.43%,4.06,4.26,4.14
Fund11,Adafilms - short stories for television,Cardano Open: Ecosystem,https://projectcatalyst.io/funds/11/cardano-open-ecosystem/adafilms-short-stories-for-television,3.72,262,30731173,11997832,0,30731173,NO,90000,NOT FUNDED,1389022,Approval Threshold,Cardano Open Ecosystem,ADA,113285,https://app.ideascaleapp.eu/t/UCNZfcI,60,47,45,78.33%,95.74%,3.72,3.71,3.72
